software mouseReMoCo;version 1.3.0;isWithLSL false;screenWidth 1902;screenHeight 973;centerX 951;centerY 486;autoStart 3600;cycleMaxNumber 6;cycleDuration 20;borderColor java.awt.Color[r=255,g=255,b=255];textColor java.awt.Color[r=255,g=255,b=255];backgroundColor java.awt.Color[r=0,g=0,b=0];cursorColorRecord java.awt.Color[r=255,g=0,b=0];cursorColorWait java.awt.Color[r=255,g=255,b=0];task circular;cornerX 545;cornerY 80;externalRadius 406;internalRadius 326;borderRadius 1;cursorRadius 16;indexOfDifficulty 48.86179212285402;taskRadius 365.5;taskTolerance 47
2025-12-01 20:50:10.412 +0100

timestamp,mouseX,mouseY,mouseInTarget
1764618615590,780,787,1
1764618615598,787,790,1
1764618615607,798,796,1
1764618615618,803,799,1
1764618615624,812,801,1
1764618615632,819,805,1
1764618615640,827,807,1
1764618615647,832,811,1
1764618615657,838,812,1
1764618615666,844,817,1
1764618615672,850,819,1
1764618615682,855,819,1
1764618615687,861,822,1
1764618615697,866,823,1
1764618615704,873,827,1
1764618615712,882,831,1
1764618615720,894,835,1
1764618615726,906,836,1
1764618615736,920,838,1
1764618615744,935,839,1
1764618615753,950,842,1
1764618615759,963,842,1
1764618615768,976,842,1
1764618615776,990,842,1
1764618615786,1001,843,1
1764618615792,1013,844,1
1764618615803,1022,844,1
1764618615808,1033,846,1
1764618615816,1040,846,1
1764618615824,1052,846,1
1764618615831,1059,846,1
1764618615840,1069,846,1
1764618615849,1075,846,1
1764618615856,1084,846,1
1764618615865,1092,846,1
1764618615871,1098,846,1
1764618615884,1106,846,0
1764618615887,1112,843,0
1764618615897,1120,843,0
1764618615904,1129,839,0
1764618615914,1135,837,0
1764618615918,1142,835,0
1764618615929,1151,830,0
1764618615935,1160,826,0
1764618615946,1166,821,0
1764618615950,1172,816,0
1764618615960,1176,813,0
1764618615966,1181,807,0
1764618615976,1184,805,0
1764618615983,1188,800,0
1764618615992,1190,797,0
1764618616000,1194,790,0
1764618616008,1198,784,1
1764618616016,1204,775,1
1764618616024,1209,766,1
1764618616032,1213,761,1
1764618616040,1218,755,1
1764618616047,1223,749,1
1764618616057,1226,745,1
1764618616064,1230,738,1
1764618616072,1236,730,1
1764618616083,1238,728,1
1764618616087,1241,723,1
1764618616098,1245,715,1
1764618616103,1248,710,1
1764618616112,1251,701,1
1764618616120,1254,695,1
1764618616129,1257,686,1
1764618616136,1259,681,1
1764618616145,1260,675,1
1764618616150,1263,665,1
1764618616160,1266,659,1
1764618616166,1270,652,1
1764618616176,1272,644,1
1764618616184,1278,634,1
1764618616191,1283,622,1
1764618616199,1286,613,1
1764618616208,1287,606,1
1764618616216,1289,595,1
1764618616222,1292,583,1
1764618616232,1293,573,1
1764618616240,1296,560,1
1764618616248,1299,548,1
1764618616256,1300,536,1
1764618616265,1304,529,1
1764618616272,1309,518,1
1764618616283,1312,504,1
1764618616286,1313,494,1
1764618616295,1316,481,1
1764618616304,1317,469,1
1764618616313,1318,455,1
1764618616319,1318,444,1
1764618616328,1318,430,1
1764618616335,1318,419,1
1764618616346,1318,409,1
1764618616351,1318,397,1
1764618616360,1318,385,1
1764618616367,1318,374,1
1764618616376,1318,364,1
1764618616382,1318,354,0
1764618616392,1318,342,0
1764618616400,1318,334,0
1764618616408,1318,324,0
1764618616416,1318,317,0
1764618616424,1317,305,0
1764618616433,1313,296,0
1764618616440,1308,287,0
1764618616448,1304,278,0
1764618616456,1300,272,0
1764618616464,1295,265,0
1764618616472,1290,257,0
1764618616482,1286,251,0
1764618616486,1282,247,0
1764618616499,1276,239,0
1764618616503,1270,233,0
1764618616513,1265,230,0
1764618616519,1261,225,0
1764618616530,1253,220,0
1764618616535,1248,218,0
1764618616544,1239,211,0
1764618616552,1230,209,0
1764618616563,1218,203,0
1764618616567,1207,198,1
1764618616575,1197,196,1
1764618616584,1184,191,1
1764618616600,1167,184,1
1764618616608,1158,183,1
1764618616616,1148,180,1
1764618616624,1139,177,1
1764618616632,1130,175,1
1764618616639,1118,171,1
1764618616648,1108,170,1
1764618616657,1096,166,1
1764618616665,1086,164,1
1764618616670,1074,163,1
1764618616681,1062,159,1
1764618616687,1050,158,1
1764618616699,1041,156,1
1764618616702,1031,156,0
1764618616714,1024,155,0
1764618616718,1017,155,0
1764618616729,1010,153,0
1764618616735,1000,153,0
1764618616743,992,153,0
1764618616751,980,152,0
1764618616759,970,152,0
1764618616767,960,152,0
1764618616775,950,152,0
1764618616783,943,152,0
1764618616794,935,152,0
1764618616799,928,152,0
1764618616810,921,152,0
1764618616816,916,152,0
1764618616825,910,153,0
1764618616831,903,154,0
1764618616841,896,155,0
1764618616847,889,158,0
1764618616854,884,159,0
1764618616863,875,163,0
1764618616871,866,166,0
1764618616882,862,167,0
1764618616886,855,171,0
1764618616896,848,172,0
1764618616901,844,173,0
1764618616911,835,176,0
1764618616919,828,177,0
1764618616926,822,179,0
1764618616935,815,181,0
1764618616943,808,184,0
1764618616951,798,185,0
1764618616959,789,189,0
1764618616968,779,190,1
1764618616976,771,194,1
1764618616983,766,195,1
1764618616992,757,200,1
1764618616998,753,202,1
1764618617008,747,205,1
1764618617015,743,208,1
1764618617023,735,211,1
1764618617032,732,213,1
1764618617040,726,217,1
1764618617046,722,219,1
1764618617055,716,222,1
1764618617062,710,224,1
1764618617070,702,231,1
1764618617078,695,236,1
1764618617087,687,241,1
1764618617096,680,245,1
1764618617103,672,251,1
1764618617112,665,257,1
1764618617119,660,262,1
1764618617127,657,268,1
1764618617135,652,274,1
1764618617143,648,280,1
1764618617150,646,285,1
